序号,时间,温度,湿度
1,2026-05-02 09:15:00,15.4,73.6
2,2026-05-02 09:30:00,18.47,70.7
3,2026-05-02 09:45:00,18.1,70.85
4,2026-05-02 10:00:00,15.82,76.63
5,2026-05-02 10:15:00,15.7,82.0
6,2026-05-02 10:30:00,15.8,80.8
7,2026-05-02 10:45:00,17.4,78.3
8,2026-05-02 11:00:00,16.48,78.6
9,2026-05-02 11:15:00,16.73,82.33
10,2026-05-02 11:30:00,17.08,79.45
11,2026-05-02 11:45:00,16.63,83.57
12,2026-05-02 12:00:00,15.6,83.3
13,2026-05-02 12:15:00,16.07,83.7
14,2026-05-02 12:30:00,15.28,84.4
15,2026-05-02 12:45:00,15.97,84.37
16,2026-05-02 13:00:00,15.72,82.95
17,2026-05-02 13:15:00,16.47,81.77
18,2026-05-02 13:30:00,17.27,75.18
19,2026-05-02 13:45:00,18.03,75.63
20,2026-05-02 14:00:00,18.07,72.12
21,2026-05-02 14:15:00,19.2,70.33
22,2026-05-02 14:30:00,20.73,62.05
23,2026-05-02 14:45:00,21.77,60.5
24,2026-05-02 15:00:00,23.42,52.92
25,2026-05-02 15:15:00,21.2,58.53
26,2026-05-02 15:30:00,20.72,57.77
27,2026-05-02 15:45:00,21.27,61.5
28,2026-05-02 16:00:00,22.5,54.37
29,2026-05-02 16:15:00,23.03,54.23
30,2026-05-02 16:30:00,22.08,54.45
31,2026-05-02 16:45:00,22.9,53.23
32,2026-05-02 17:00:00,21.77,54.08
33,2026-05-02 17:15:00,20.23,60.57
34,2026-05-02 17:30:00,19.75,59.88
35,2026-05-02 17:45:00,19.63,63.33
36,2026-05-02 18:00:00,20.2,59.6
37,2026-05-02 18:15:00,19.43,64.37
38,2026-05-02 18:30:00,19.53,61.57
39,2026-05-02 18:45:00,18.83,65.5
40,2026-05-02 19:00:00,17.92,66.15
41,2026-05-02 19:15:00,17.9,68.7
42,2026-05-02 19:30:00,17.25,69.25
43,2026-05-02 19:45:00,17.5,70.2
44,2026-05-02 20:00:00,16.83,69.63
45,2026-05-02 20:15:00,17.2,70.17
46,2026-05-02 20:30:00,16.53,69.95
47,2026-05-02 20:45:00,16.73,71.13
48,2026-05-02 21:00:00,16.07,71.07
49,2026-05-02 21:15:00,16.5,72.7
50,2026-05-02 21:30:00,15.82,74.35
51,2026-05-02 21:45:00,16.23,76.1
52,2026-05-02 22:00:00,15.58,76.67
53,2026-05-02 22:15:00,15.97,78.3
54,2026-05-02 22:30:00,15.43,78.38
55,2026-05-02 22:45:00,15.9,78.7
56,2026-05-02 23:00:00,15.28,78.7
57,2026-05-02 23:15:00,15.8,79.27
58,2026-05-02 23:30:00,15.17,79.7
59,2026-05-02 23:45:00,15.63,81.13
60,2026-05-03 00:00:00,14.92,81.32
61,2026-05-03 00:15:00,15.5,82.07
62,2026-05-03 00:30:00,14.78,82.12
63,2026-05-03 00:45:00,15.33,81.8
64,2026-05-03 01:00:00,14.62,82.25
65,2026-05-03 01:15:00,15.2,82.73
66,2026-05-03 01:30:00,14.58,82.73
67,2026-05-03 01:45:00,14.9,82.53
68,2026-05-03 02:00:00,14.48,81.83
69,2026-05-03 02:15:00,15.03,82.13
70,2026-05-03 02:30:00,14.68,82.0
71,2026-05-03 02:45:00,15.1,82.87
72,2026-05-03 03:00:00,14.73,82.6
73,2026-05-03 03:15:00,15.23,83.47
74,2026-05-03 03:30:00,14.77,83.25
75,2026-05-03 03:45:00,15.23,83.73
76,2026-05-03 04:00:00,14.78,83.42
77,2026-05-03 04:15:00,15.2,84.4
78,2026-05-03 04:30:00,14.58,85.43
79,2026-05-03 04:45:00,14.97,87.83
80,2026-05-03 05:00:00,14.27,88.42
81,2026-05-03 05:15:00,14.67,89.57
82,2026-05-03 05:30:00,14.08,89.48
83,2026-05-03 05:45:00,14.6,89.8
84,2026-05-03 06:00:00,13.97,89.82
85,2026-05-03 06:15:00,14.5,90.6
86,2026-05-03 06:30:00,13.95,90.32
87,2026-05-03 06:45:00,14.47,90.67
88,2026-05-03 07:00:00,13.93,90.15
89,2026-05-03 07:15:00,14.43,90.7
90,2026-05-03 07:30:00,13.92,90.42
91,2026-05-03 07:45:00,13.23,87.43
92,2026-05-03 08:00:00,12.08,86.17
93,2026-05-03 08:15:00,11.77,86.6
94,2026-05-03 08:30:00,11.18,86.12
95,2026-05-03 08:45:00,11.33,86.37
96,2026-05-03 09:00:00,11.23,84.67
97,2026-05-03 09:15:00,11.33,86.8
98,2026-05-03 09:30:00,10.68,85.57
99,2026-05-03 09:45:00,10.63,87.9
100,2026-05-03 10:00:00,10.6,87.63
101,2026-05-03 10:15:00,10.63,87.97
102,2026-05-03 10:30:00,10.4,86.58
103,2026-05-03 10:45:00,10.63,86.6
104,2026-05-03 11:00:00,10.12,86.25
105,2026-05-03 11:15:00,10.4,87.7
106,2026-05-03 11:30:00,10.07,87.1
107,2026-05-03 11:45:00,10.37,88.83
108,2026-05-03 12:00:00,10.18,87.17
109,2026-05-03 12:15:00,10.2,88.6
110,2026-05-03 12:30:00,10.17,86.83
111,2026-05-03 12:45:00,10.5,87.63
112,2026-05-03 13:00:00,10.08,86.98
113,2026-05-03 13:15:00,10.27,88.53
114,2026-05-03 13:30:00,10.07,87.27
115,2026-05-03 13:45:00,10.37,87.5
116,2026-05-03 14:00:00,10.1,85.38
117,2026-05-03 14:15:00,10.3,86.4
118,2026-05-03 14:30:00,10.22,84.33
119,2026-05-03 14:45:00,10.53,86.03
120,2026-05-03 15:00:00,10.57,83.37
121,2026-05-03 15:15:00,10.53,85.93
122,2026-05-03 15:30:00,10.42,85.48
123,2026-05-03 15:45:00,10.77,87.23
124,2026-05-03 16:00:00,10.32,85.78
125,2026-05-03 16:15:00,10.4,86.0
126,2026-05-03 16:30:00,10.67,83.3
127,2026-05-03 16:45:00,10.57,85.4
128,2026-05-03 17:00:00,10.57,83.7
129,2026-05-03 17:15:00,10.3,84.97
130,2026-05-03 17:30:00,10.07,83.13
131,2026-05-03 17:45:00,10.23,85.77
132,2026-05-03 18:00:00,9.72,83.88
133,2026-05-03 18:15:00,9.47,84.43
134,2026-05-03 18:30:00,9.3,84.62
135,2026-05-03 18:45:00,9.43,86.53
136,2026-05-03 19:00:00,9.15,85.82
137,2026-05-03 19:15:00,9.33,86.33
138,2026-05-03 19:30:00,9.07,86.35
139,2026-05-03 19:45:00,9.23,87.53
140,2026-05-03 20:00:00,8.88,86.87
141,2026-05-03 20:15:00,9.13,86.93
142,2026-05-03 20:30:00,8.85,86.62
143,2026-05-03 20:45:00,9.43,87.9
144,2026-05-03 21:00:00,9.0,87.17
145,2026-05-03 21:15:00,9.33,87.7
146,2026-05-03 21:30:00,8.88,86.12
147,2026-05-03 21:45:00,9.17,86.6
148,2026-05-03 22:00:00,8.95,86.67
149,2026-05-03 22:15:00,9.53,88.1
150,2026-05-03 22:30:00,9.2,88.2
151,2026-05-03 22:45:00,9.3,87.43
152,2026-05-03 23:00:00,8.93,86.9
153,2026-05-03 23:15:00,9.43,87.43
154,2026-05-03 23:30:00,8.93,86.5
155,2026-05-03 23:45:00,9.2,87.43
156,2026-05-04 00:00:00,8.92,87.13
157,2026-05-04 00:15:00,9.17,88.37
158,2026-05-04 00:30:00,8.78,87.75
159,2026-05-04 00:45:00,8.8,88.67
160,2026-05-04 01:00:00,8.52,87.68
161,2026-05-04 01:15:00,8.8,88.5
162,2026-05-04 01:30:00,8.37,87.8
163,2026-05-04 01:45:00,8.67,88.43
164,2026-05-04 02:00:00,8.27,87.5
165,2026-05-04 02:15:00,8.6,88.97
166,2026-05-04 02:30:00,8.25,88.15
167,2026-05-04 02:45:00,8.7,89.27
168,2026-05-04 03:00:00,8.3,88.12
169,2026-05-04 03:15:00,8.93,89.7
170,2026-05-04 03:30:00,8.5,88.03
171,2026-05-04 03:45:00,8.77,87.9
172,2026-05-04 04:00:00,8.3,86.98
173,2026-05-04 04:15:00,8.7,87.33
174,2026-05-04 04:30:00,8.4,86.5
175,2026-05-04 04:45:00,8.73,86.83
176,2026-05-04 05:00:00,8.38,86.68
177,2026-05-04 05:15:00,8.53,87.87
178,2026-05-04 05:30:00,8.15,86.58
179,2026-05-04 05:45:00,8.53,87.3
180,2026-05-04 06:00:00,8.3,86.1
181,2026-05-04 06:15:00,8.6,86.97
182,2026-05-04 06:30:00,8.32,86.17
183,2026-05-04 06:45:00,8.83,86.8
184,2026-05-04 07:00:00,8.55,85.77
185,2026-05-04 07:15:00,8.97,86.3
186,2026-05-04 07:30:00,8.8,86.1
187,2026-05-04 07:45:00,9.1,86.3
188,2026-05-04 08:00:00,8.97,84.77
189,2026-05-04 08:15:00,9.3,85.17
190,2026-05-04 08:30:00,9.02,84.2
191,2026-05-04 08:45:00,9.5,85.37
192,2026-05-04 09:00:00,9.18,83.87
193,2026-05-04 09:15:00,10.23,84.23
194,2026-05-04 09:30:00,11.05,78.08
195,2026-05-04 09:45:00,12.47,75.07
196,2026-05-04 10:00:00,12.87,71.8
197,2026-05-04 10:15:00,13.33,71.33
